date,browser,visits
2016-03-21,Amazon Silk,28
2016-03-21,Opera,17
2016-03-21,UC Browser,6
2016-03-21,BlackBerry,5
2016-03-21,Opera Mini,2
2016-03-21,BrowserNG,1
2016-03-21,Iron,1
2016-03-21,Mozilla Compatible Agent,1
2016-03-21,NetFront,1
2016-03-21,YaBrowser,1
2016-03-22,Chrome,4659
2016-03-22,Internet Explorer,3015
2016-03-22,Safari,2791
2016-03-22,Firefox,628
2016-03-22,Edge,191
2016-03-22,Android Browser,117
2016-03-22,Safari (in-app),48
2016-03-22,Amazon Silk,35
2016-03-22,Opera,21
2016-03-22,Opera Mini,9
2016-03-22,BlackBerry,4
2016-03-22,Mozilla Compatible Agent,3
2016-03-22,DDG-Android-3.0.12,1
2016-03-23,Chrome,4195
2016-03-23,Internet Explorer,2869
2016-03-23,Safari,2837
2016-03-23,Firefox,635
2016-03-23,Edge,195
2016-03-23,Android Browser,136
2016-03-23,Safari (in-app),66
2016-03-23,Amazon Silk,34
2016-03-23,Opera,13
2016-03-23,BlackBerry,9
2016-03-23,Opera Mini,5
2016-03-23,UC Browser,4
2016-03-23,Mozilla Compatible Agent,2
2016-03-23,DDG-Android-3.0.12,1
2016-03-23,IE with Chrome Frame,1
2016-03-23,Playstation 3,1
2016-03-23,SeaMonkey,1
2016-03-24,Chrome,4048
2016-03-24,Safari,2768
2016-03-24,Internet Explorer,2702
2016-03-24,Firefox,584
2016-03-24,Edge,183
2016-03-24,Android Browser,120
2016-03-24,Safari (in-app),58
2016-03-24,Amazon Silk,42
2016-03-24,Opera,21
2016-03-24,Opera Mini,8
2016-03-24,BlackBerry,4
2016-03-24,UC Browser,4
2016-03-24,NetFront,1
2016-03-24,SeaMonkey,1
2016-03-25,Chrome,3589
2016-03-25,Safari,2767
2016-03-25,Internet Explorer,2374
2016-03-25,Firefox,567
2016-03-25,Edge,167
2016-03-25,Android Browser,121
2016-03-25,Safari (in-app),48
2016-03-25,Amazon Silk,36
2016-03-25,Opera,19
2016-03-25,Opera Mini,5
2016-03-25,BlackBerry,3
2016-03-25,IE with Chrome Frame,2
2016-03-25,UC Browser,2
2016-03-25,Iron,1
2016-03-25,Nintendo Browser,1
2016-03-25,YaBrowser,1
2016-03-26,Chrome,2896
2016-03-26,Safari,2836
2016-03-26,Internet Explorer,1007
2016-03-26,Firefox,338
2016-03-26,Android Browser,142
2016-03-26,Edge,142
2016-03-26,Amazon Silk,39
2016-03-26,Safari (in-app),31
2016-03-26,Opera,19
2016-03-26,Opera Mini,7
2016-03-26,UC Browser,5
2016-03-26,DDG-Android-3.0.12,3
2016-03-26,Coc Coc,2
2016-03-26,BlackBerry,1
2016-03-26,Maxthon,1
2016-03-26,Nintendo Browser,1
2016-03-26,Playstation Vita Browser,1
2016-03-26,SeaMonkey,1
2016-03-26,YaBrowser,1
2016-03-27,Chrome,2284
2016-03-27,Safari,2217
2016-03-27,Internet Explorer,672
2016-03-27,Firefox,295
2016-03-27,Edge,106
2016-03-27,Android Browser,95
2016-03-27,Safari (in-app),44
2016-03-27,Amazon Silk,35
2016-03-27,Opera,12
2016-03-27,Opera Mini,8
2016-03-27,UC Browser,3
2016-03-27,DDG-Android-3.0.12,1
2016-03-27,Mozilla Compatible Agent,1
2016-03-27,SeaMonkey,1
2016-03-28,Chrome,4421
2016-03-28,Safari,3237
2016-03-28,Internet Explorer,1544
2016-03-28,Firefox,650
2016-03-28,Edge,197
2016-03-28,Android Browser,153
2016-03-28,Amazon Silk,42
2016-03-28,Safari (in-app),38
2016-03-28,Opera,17
2016-03-28,Opera Mini,11
2016-03-28,BlackBerry,7
2016-03-28,Mozilla Compatible Agent,4
2016-03-28,UC Browser,4
2016-03-28,YaBrowser,2
2016-03-28,IE with Chrome Frame,1
2016-03-28,Phantom Browser,1
2016-03-29,Chrome,4646
2016-03-29,Internet Explorer,3042
2016-03-29,Safari,3023
2016-03-29,Firefox,638
2016-03-29,Edge,231
2016-03-29,Android Browser,109
2016-03-29,Safari (in-app),79
2016-03-29,Amazon Silk,30
2016-03-29,Opera,20
2016-03-29,BlackBerry,8
2016-03-29,Opera Mini,7
2016-03-29,IE with Chrome Frame,3
2016-03-29,Mozilla Compatible Agent,2
2016-03-29,UC Browser,1
2016-03-29,YE,1
2016-03-30,Chrome,4301
2016-03-30,Internet Explorer,3032
2016-03-30,Safari,2913
2016-03-30,Firefox,693
2016-03-30,Edge,220
2016-03-30,Android Browser,140
2016-03-30,Safari (in-app),53
2016-03-30,Amazon Silk,32
2016-03-30,Opera,24
2016-03-30,BlackBerry,6
2016-03-30,IE with Chrome Frame,4
2016-03-30,Mozilla Compatible Agent,4
2016-03-30,Opera Mini,2
2016-03-30,UC Browser,2
2016-03-30,BlackBerry8520,1
2016-03-30,Coc Coc,1
2016-03-31,Chrome,4218
2016-03-31,Internet Explorer,2948
2016-03-31,Safari,2762
2016-03-31,Firefox,611
2016-03-31,Edge,196
2016-03-31,Android Browser,143
2016-03-31,Amazon Silk,32
2016-03-31,Safari (in-app),29
2016-03-31,Opera,26
2016-03-31,IE with Chrome Frame,5
2016-03-31,Opera Mini,5
2016-03-31,UC Browser,5
2016-03-31,BlackBerry,4
2016-03-31,Mozilla Compatible Agent,2
2016-03-31,Coc Coc,1
2016-03-31,Iron,1
2016-03-31,YE,1
2016-03-31,YaBrowser,1
2016-04-01,Chrome,3955
2016-04-01,Safari,2916
2016-04-01,Internet Explorer,2426
2016-04-01,Firefox,535
2016-04-01,Edge,203
2016-04-01,Android Browser,148
2016-04-01,Safari (in-app),40
2016-04-01,Opera,30
2016-04-01,Amazon Silk,26
2016-04-01,Opera Mini,7
2016-04-01,BlackBerry,6
2016-04-01,Mozilla Compatible Agent,6
2016-04-01,UC Browser,4
2016-04-01,SeaMonkey,1
2016-04-01,YaBrowser,1
2016-04-02,Safari,2862
2016-04-02,Chrome,2731
2016-04-02,Internet Explorer,1335
2016-04-02,Firefox,344
2016-04-02,Android Browser,149
2016-04-02,Edge,144
2016-04-02,Amazon Silk,43
2016-04-02,Safari (in-app),28
2016-04-02,Opera,24
2016-04-02,Opera Mini,6
2016-04-02,Mozilla Compatible Agent,5
2016-04-02,UC Browser,4
2016-04-02,BlackBerry,3
2016-04-02,Nintendo Browser,2
2016-04-02,Phantom.js bot,1
2016-04-03,Safari,2712
2016-04-03,Chrome,2541
2016-04-03,Internet Explorer,807
2016-04-03,Firefox,359
2016-04-03,Edge,129
2016-04-03,Android Browser,107
2016-04-03,Amazon Silk,32
2016-04-03,Safari (in-app),32
2016-04-03,Opera,21
2016-04-03,Opera Mini,6
2016-04-03,Mozilla Compatible Agent,5
2016-04-03,UC Browser,4
2016-04-03,BlackBerry,1
2016-04-03,YaBrowser,1
2016-04-04,Chrome,5226
2016-04-04,Safari,3985
2016-04-04,Internet Explorer,2896
2016-04-04,Firefox,905
2016-04-04,Edge,285
2016-04-04,Safari (in-app),156
2016-04-04,Android Browser,145
2016-04-04,Opera,28
2016-04-04,Amazon Silk,24
2016-04-04,BlackBerry,11
2016-04-04,Opera Mini,7
2016-04-04,UC Browser,7
2016-04-04,IE with Chrome Frame,2
2016-04-04,Mozilla Compatible Agent,2
2016-04-04,NOKIAN79,1
2016-04-04,Nintendo 3DS Browser,1
2016-04-04,Playstation 3,1
2016-04-05,Chrome,7886
2016-04-05,Safari,7669
2016-04-05,Internet Explorer,4011
2016-04-05,Firefox,1402
2016-04-05,Edge,369
2016-04-05,Safari (in-app),247
2016-04-05,Android Browser,206
2016-04-05,Amazon Silk,73
2016-04-05,Opera,34
2016-04-05,BlackBerry,12
2016-04-05,Opera Mini,5
2016-04-05,UC Browser,4
2016-04-05,SeaMonkey,2
2016-04-05,Mozilla Compatible Agent,1
2016-04-06,Chrome,6680
2016-04-06,Safari,6177
2016-04-06,Internet Explorer,4080
2016-04-06,Firefox,1194
2016-04-06,Edge,323
2016-04-06,Android Browser,166
2016-04-06,Safari (in-app),99
2016-04-06,Amazon Silk,73
2016-04-06,Opera,35
2016-04-06,BlackBerry,13
2016-04-06,Opera Mini,9
2016-04-06,UC Browser,5
2016-04-06,Mozilla Compatible Agent,1
2016-04-07,Chrome,4262
2016-04-07,Safari,3060
2016-04-07,Internet Explorer,2792
2016-04-07,Firefox,653
2016-04-07,Edge,209
2016-04-07,Android Browser,99
2016-04-07,Safari (in-app),30
2016-04-07,Amazon Silk,28
2016-04-07,Opera,12
2016-04-07,BlackBerry,7
2016-04-07,Opera Mini,3
2016-04-07,IE with Chrome Frame,2
2016-04-07,UC Browser,2
2016-04-07,Coc Coc,1
2016-04-07,Maxthon,1
2016-04-08,Chrome,3960
2016-04-08,Safari,2955
2016-04-08,Internet Explorer,2396
2016-04-08,Firefox,564
2016-04-08,Edge,193
2016-04-08,Android Browser,107
2016-04-08,Safari (in-app),33
2016-04-08,Amazon Silk,32
2016-04-08,Opera,20
2016-04-08,BlackBerry,4
2016-04-08,Mozilla Compatible Agent,3
2016-04-08,Opera Mini,3
2016-04-08,UC Browser,2
2016-04-08,Maxthon,1
2016-04-09,Safari,3042
2016-04-09,Chrome,2969
2016-04-09,Internet Explorer,1257
2016-04-09,Firefox,417
2016-04-09,Edge,162
2016-04-09,Android Browser,134
2016-04-09,Amazon Silk,40
2016-04-09,Safari (in-app),25
2016-04-09,Opera,19
2016-04-09,Opera Mini,4
2016-04-09,BlackBerry,2
2016-04-09,UC Browser,2
2016-04-09,Mozilla Compatible Agent,1
2016-04-10,Chrome,2724
2016-04-10,Safari,2693
2016-04-10,Internet Explorer,799
2016-04-10,Firefox,388
2016-04-10,Edge,152
2016-04-10,Android Browser,121
2016-04-10,Amazon Silk,18
2016-04-10,Safari (in-app),18
2016-04-10,Opera,17
2016-04-10,Opera Mini,6
2016-04-10,BlackBerry,1
2016-04-10,Maxthon,1
2016-04-10,Mozilla Compatible Agent,1
2016-04-10,UC Browser,1
2016-04-11,Chrome,4716
2016-04-11,Safari,2930
2016-04-11,Internet Explorer,2614
2016-04-11,Firefox,661
2016-04-11,Edge,228
2016-04-11,Android Browser,110
2016-04-11,Opera,41
2016-04-11,Amazon Silk,31
2016-04-11,Safari (in-app),25
2016-04-11,Opera Mini,11
2016-04-11,BlackBerry,6
2016-04-11,Mozilla Compatible Agent,6
2016-04-11,Coc Coc,1
2016-04-11,IE with Chrome Frame,1
2016-04-11,UC Browser,1
2016-04-12,Chrome,4629
2016-04-12,Safari,2941
2016-04-12,Internet Explorer,2939
2016-04-12,Firefox,627
2016-04-12,Edge,226
2016-04-12,Android Browser,146
2016-04-12,Amazon Silk,44
2016-04-12,Safari (in-app),38
2016-04-12,Opera,33
2016-04-12,BlackBerry,3
2016-04-12,IE with Chrome Frame,3
2016-04-12,Opera Mini,3
2016-04-12,UC Browser,3
2016-04-12,BlackBerry9300,1
2016-04-12,Mozilla Compatible Agent,1
2016-04-13,Chrome,4312
2016-04-13,Safari,2933
2016-04-13,Internet Explorer,2930
2016-04-13,Firefox,707
2016-04-13,Edge,214
2016-04-13,Android Browser,138
2016-04-13,Amazon Silk,38
2016-04-13,Safari (in-app),36
2016-04-13,Opera,25
2016-04-13,Opera Mini,6
2016-04-13,Mozilla Compatible Agent,3
2016-04-13,IE with Chrome Frame,2
2016-04-13,BlackBerry,1
2016-04-13,UC Browser,1
2016-04-14,Chrome,4206
2016-04-14,Internet Explorer,2927
2016-04-14,Safari,2809
2016-04-14,Firefox,655
2016-04-14,Edge,187
2016-04-14,Android Browser,110
2016-04-14,Amazon Silk,40
2016-04-14,Safari (in-app),30
2016-04-14,Opera,28
2016-04-14,BlackBerry,4
2016-04-14,Opera Mini,4
2016-04-14,UC Browser,3
2016-04-14,YaBrowser,2
2016-04-14,IE with Chrome Frame,1
2016-04-15,Chrome,4047
2016-04-15,Safari,3059
2016-04-15,Internet Explorer,2559
2016-04-15,Firefox,645
2016-04-15,Edge,193
2016-04-15,Android Browser,125
2016-04-15,Safari (in-app),94
2016-04-15,Amazon Silk,34
2016-04-15,Opera,15
2016-04-15,Mozilla Compatible Agent,4
2016-04-15,BlackBerry,3
2016-04-15,Opera Mini,3
2016-04-15,UC Browser,3
2016-04-15,IE with Chrome Frame,2
2016-04-15,Iron,1
2016-04-15,Playstation 3,1
2016-04-15,YaBrowser,1
2016-04-16,Safari,3125
2016-04-16,Chrome,3020
2016-04-16,Internet Explorer,1250
2016-04-16,Firefox,418
2016-04-16,Edge,181
2016-04-16,Android Browser,134
2016-04-16,Safari (in-app),40
2016-04-16,Amazon Silk,36
2016-04-16,Opera,19
2016-04-16,Mozilla Compatible Agent,7
2016-04-16,BlackBerry,6
2016-04-16,Opera Mini,4
2016-04-16,UC Browser,4
2016-04-16,Maxthon,2
2016-04-16,NetFront,1
2016-04-16,Nintendo 3DS Browser,1
2016-04-16,Phantom.js bot,1
2016-04-16,YaBrowser,1
2016-04-16,nook browser,1
2016-04-17,Safari,2664
2016-04-17,Chrome,2659
2016-04-17,Internet Explorer,801
2016-04-17,Firefox,317
2016-04-17,Edge,141
2016-04-17,Android Browser,108
2016-04-17,Amazon Silk,40
2016-04-17,Safari (in-app),22
2016-04-17,Opera,16
2016-04-17,Opera Mini,6
2016-04-17,BlackBerry,3
2016-04-17,UC Browser,3
2016-04-17,Mozilla Compatible Agent,2
2016-04-17,Coc Coc,1
2016-04-18,Chrome,4491
2016-04-18,Safari,3038
2016-04-18,Internet Explorer,2760
2016-04-18,Firefox,665
2016-04-18,Edge,220
2016-04-18,Android Browser,89
2016-04-18,Amazon Silk,37
2016-04-18,Opera,28
2016-04-18,Safari (in-app),25
2016-04-18,BlackBerry,6
2016-04-18,Opera Mini,6
2016-04-18,Mozilla Compatible Agent,3
2016-04-18,IE with Chrome Frame,2
2016-04-18,Playstation 3,2
2016-04-18,UC Browser,2
2016-04-18,Nokia Browser,1
2016-04-19,Chrome,4556
2016-04-19,Internet Explorer,2977
2016-04-19,Safari,2945
2016-04-19,Firefox,667
2016-04-19,Edge,212
2016-04-19,Android Browser,121
2016-04-19,Amazon Silk,26
2016-04-19,Safari (in-app),22
2016-04-19,Opera,21
2016-04-19,Opera Mini,6
2016-04-19,UC Browser,6
2016-04-19,BlackBerry,4
2016-04-19,Mozilla Compatible Agent,4
2016-04-19,NetFront,2
2016-04-19,Playstation 3,2
2016-04-19,Coc Coc,1
2016-04-20,Chrome,4434
2016-04-20,Safari,2915
2016-04-20,Internet Explorer,2898
2016-04-20,Firefox,690
2016-04-20,Edge,202
2016-04-20,Android Browser,104
2016-04-20,Safari (in-app),45
2016-04-20,Amazon Silk,26
2016-04-20,Opera,15
2016-04-20,BlackBerry,8
2016-04-20,Mozilla Compatible Agent,5
2016-04-20,UC Browser,3
2016-04-20,Coc Coc,1
2016-04-20,IE with Chrome Frame,1
2016-04-20,Maxthon,1
2016-04-20,Opera Mini,1
2016-04-20,SeaMonkey,1
2016-04-21,Chrome,4160
2016-04-21,Internet Explorer,2676
2016-04-21,Safari,2676
2016-04-21,Firefox,593
2016-04-21,Edge,186
2016-04-21,Android Browser,125
2016-04-21,Amazon Silk,34
2016-04-21,Opera,25
2016-04-21,Safari (in-app),24
2016-04-21,Opera Mini,7
2016-04-21,BlackBerry,3
2016-04-21,Coc Coc,2
2016-04-21,Maxthon,2
2016-04-21,IE with Chrome Frame,1
2016-04-21,Mozilla Compatible Agent,1
2016-04-21,Playstation 3,1
2016-04-21,RockMelt,1
2016-04-21,SeaMonkey,1
2016-04-22,Chrome,3809
2016-04-22,Safari,2738
2016-04-22,Internet Explorer,2444
2016-04-22,Firefox,600
2016-04-22,Edge,177
2016-04-22,Android Browser,97
2016-04-22,Safari (in-app),29
2016-04-22,Amazon Silk,26
2016-04-22,Opera,24
2016-04-22,Opera Mini,4
2016-04-22,UC Browser,4
2016-04-22,BlackBerry,3
2016-04-22,DDG-Android-3.0.12,1
2016-04-22,Maxthon,1
2016-04-22,Mozilla Compatible Agent,1
2016-04-22,Phantom Browser,1
2016-04-23,Safari,2836
2016-04-23,Chrome,2771
2016-04-23,Internet Explorer,1142
2016-04-23,Firefox,355
2016-04-23,Edge,147
2016-04-23,Android Browser,133
2016-04-23,Amazon Silk,27
2016-04-23,Safari (in-app),22
2016-04-23,Opera,14
2016-04-23,BlackBerry,9
2016-04-23,Opera Mini,6
2016-04-23,UC Browser,6
2016-04-23,Maxthon,2
2016-04-23,Coc Coc,1
2016-04-23,Playstation Vita Browser,1
2016-04-24,Safari,2534
2016-04-24,Chrome,2480
2016-04-24,Internet Explorer,769
2016-04-24,Firefox,315
2016-04-24,Edge,165
2016-04-24,Android Browser,77
2016-04-24,Amazon Silk,30
2016-04-24,Safari (in-app),27
2016-04-24,Opera,16
2016-04-24,UC Browser,8
2016-04-24,Opera Mini,6
2016-04-24,BlackBerry,5
2016-04-24,Maxthon,1
2016-04-25,Chrome,4499
2016-04-25,Safari,3008
2016-04-25,Internet Explorer,2626
2016-04-25,Firefox,712
2016-04-25,Edge,206
2016-04-25,Android Browser,97
2016-04-25,Safari (in-app),60
2016-04-25,Amazon Silk,33
2016-04-25,Opera,23
2016-04-25,BlackBerry,9
2016-04-25,UC Browser,6
2016-04-25,Mozilla Compatible Agent,4
2016-04-25,Opera Mini,4
2016-04-25,YaBrowser,1
